Total runtime (s),Hits channel 1,Hits channel 2,Lifetimes (ns),Delta times (ns),Total coincidences
,,,1470,2,
,,,8690,-4,
,,,4000,-2,
,,,1850,-4,
,,,9090,-1.5,
,,,800,-3,
,,,830,-2,
,,,2500,1.5,
,,,2580,-3.5,
,,,1050,-4,
,,,570,2,
,,,2180,-4,
,,,1210,4,
,,,2490,-2,
,,,3140,-5.5,
,,,4900,-2.5,
,,,2820,-4,
,,,250,-1.5,
,,,530,-3.5,
,,,840,-2.5,
,,,5470,0,
,,,2090,0,
,,,4930,-12.5,
,,,2270,-6.5,
,,,5140,-1.5,
,,,290,-2.5,
,,,970,-5,
,,,410,-1,
,,,400,-4,
,,,2720,-6.5,
,,,710,1.5,
,,,310,-2.5,
,,,1140,1.5,
,,,1390,4,
,,,1450,-3,
,,,1310,-0.5,
,,,1700,-1,
,,,980,-3.5,
,,,2860,-9.5,
,,,2020,3.5,
,,,3350,0.5,
,,,15260,-0.5,
,,,130,-559.5,
,,,1600,-2,
,,,370,-3.5,
,,,130,-2,
,,,4880,-0.5,
,,,3360,2.5,
,,,5930,-4.5,
,,,18940,0.5,
,,,4760,-5.5,
,,,6760,-0.5,
,,,1280,-3.5,
,,,2950,3,
,,,5780,-1,
,,,6430,2.5,
,,,4160,-6.5,
,,,630,2,
,,,420,-1.5,
,,,1470,0.5,
,,,760,3,
,,,1040,-1,
,,,1810,3,
,,,350,2.5,
,,,5580,-4,
,,,3700,0,
,,,660,0,
,,,3150,-2,
,,,680,-3.5,
,,,550,-2.5,
,,,3800,6.5,
,,,3050,-4,
,,,1640,-2.5,
,,,310,1.5,
,,,1330,5,
,,,860,2,
,,,1110,8.5,
,,,480,-2.5,
,,,610,-1.5,
,,,320,-0.5,
,,,3370,-2,
,,,1300,-3.5,
,,,130,0.5,
,,,290,-5.5,
,,,12740,-5,
